Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,5/9/1971,1:11:00,Atlas-SLV3C Centaur-D,Mariner 8,0,,2
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,5/10/1971,16:58:00,Proton K/Block D,Cosmos 419,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,5/18/1971,8:00:00,Voskhod,Cosmos 420,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,5/19/1971,10:20:00,Cosmos-2I (63SM),Cosmos 421,0,,1
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,5/19/1971,16:22:00,Proton K/Block D,Mars-2,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,5/22/1971,0:51:00,Cosmos-3M (11K65M),Cosmos 422,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,5/27/1971,11:59:00,Cosmos-2I (63SM),Cosmos 423,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,5/28/1971,10:30:00,Voskhod,Cosmos 424,0,,1
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,5/28/1971,15:26:00,Proton K/Block D,Mars-3,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,5/29/1971,3:48:00,Cosmos-3M (11K65M),Cosmos 425,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,5/30/1971,22:23:00,Atlas-SLV3C Centaur-D,Mariner 9,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,6/4/1971,,Cosmos-3M (11K65M),Cosmos 426,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,6/6/1971,4:55:00,Soyuz,Soyuz 11,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,6/11/1971,10:00:00,Voskhod,Cosmos 427,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,6/12/1971,5:30:00,Soyuz L,Cosmos 434 (T2K Lunar Lander),0,,1
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,6/15/1971,18:41:00,Titan IIID,KH-9,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,6/24/1971,7:59:00,Voskhod,Cosmos 428,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,6/25/1971,10:30:00,Voskhod,Zenit-4M n­17,0,,2
RVSN USSR,Site 110/37,Baikonur Cosmodrome,,Kazakhstan,6/26/1971,23:15:00,N1-L3,6L (Test flight),0,,2
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,7/16/1971,1:41:00,Vostok-2M,Meteor n­20,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,7/20/1971,10:00:00,Voskhod,Cosmos 429,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,7/22/1971,13:45:00,Cosmos-3M (11K65M),Tselina-OM #10,0,,2
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,7/23/1971,11:00:00,Voskhod,Cosmos 430,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,7/26/1971,13:34:00,Saturn V,Apollo 15,0,1160,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,7/28/1971,3:29:00,Molniya-M /Block L,Molniya-1 n­20,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,7/28/1971,10:19:00,Voskhod,Cosmos 512,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,7/30/1971,8:29:00,Voskhod,Cosmos 431,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,8/3/1971,11:00:00,Cosmos-2I (63SM),DS-P1-You #33,0,,2
